gene,raw_identifier,n_masked,neural_r,knn_r,delta_r,neural_mse,knn_mse,delta_mse
KLRD1,KLRD1,98,0.8165757,0.9144558,-0.097880065,0.3366917669773102,0.18167957663536072,-0.15501219034194946
SPRR4,SPRR4,115,0.8472792,0.945165,-0.09788579,0.4117164611816406,0.2373719960451126,-0.17434446513652802
BCL2L1,BCL2L1,92,0.7575268,0.8554394,-0.09791261,0.4300391972064972,0.28871995210647583,-0.14131924510002136
GPR149,GPR149,132,0.7357386,0.833788,-0.0980494,0.3655105233192444,0.21956221759319305,-0.14594830572605133
FZD6,FZD6,109,0.8138155,0.9120144,-0.09819895,0.2515977621078491,0.125533789396286,-0.1260639727115631
NSMCE2,NSMCE2,91,0.7640644,0.8623894,-0.098325014,0.2706880271434784,0.18099845945835114,-0.08968956768512726
MIR1825,MIR1825,102,0.7693015,0.86763924,-0.09833777,0.23185424506664276,0.12626881897449493,-0.10558542609214783
DHX35,DHX35,106,0.8044414,0.90291214,-0.09847075,0.42705342173576355,0.2272786796092987,-0.19977474212646484
B4GALNT1,B4GALNT1,93,0.5076739,0.60631764,-0.09864372,0.3356194794178009,0.30285075306892395,-0.03276872634887695
F11R,F11R,106,0.620743,0.71941024,-0.098667264,1.0755199193954468,0.8694903254508972,-0.20602959394454956
LTBR,LTBR,91,0.85738283,0.9561398,-0.09875697,0.3612135946750641,0.11150486767292023,-0.24970872700214386
CYP11B2,CYP11B2,107,0.8110141,0.90983474,-0.09882063,0.3487803339958191,0.18231183290481567,-0.16646850109100342
RB1CC1,RB1CC1,111,0.7897248,0.8885463,-0.09882146,0.4523116648197174,0.24307942390441895,-0.20923224091529846
FXR1,FXR1,104,0.7409616,0.83979243,-0.09883082,0.2883019745349884,0.19714714586734772,-0.09115482866764069
C20orf112,C20orf112,100,0.7566208,0.8555105,-0.09888965,0.5844185948371887,0.3756781816482544,-0.20874041318893433
AARD,AARD,98,0.7347845,0.833731,-0.09894651,0.5220580697059631,0.3743748962879181,-0.14768317341804504
SENP2,SENP2,93,0.81191814,0.9109085,-0.09899038,0.25066351890563965,0.14146174490451813,-0.10920177400112152
